word,category,sources
drug,Industry,"globish, voa_special_english"
dry,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
during,Time,"globish, upgoer5, voa_special_english"
dust,Nature,"globish, ogdens_basic_english, voa_special_english"
duty,Business,"globish, voa_special_english"
each,Mathematics,"globish, upgoer5, voa_special_english"
ear,Body Parts,"globish, ogdens_basic_english, upgoer5"
early,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
earn,Business,"globish, voa_special_english"
earth,Nature,"globish, ogdens_basic_english, voa_special_english"
earthquake,Nature,voa_special_english
ease,Business,voa_special_english
east,Direction,"globish, ogdens_basic_english, voa_special_english"
easy,Education,"globish, upgoer5, voa_special_english"
eat,Food/Drink,"globish, upgoer5, voa_special_english"
ecology,Nature,voa_special_english
economy,Business,voa_special_english
edge,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
education,Education,"globish, ogdens_basic_english, voa_special_english"
effect,Agriculture,"globish, ogdens_basic_english, voa_special_english"
effort,Business,"globish, voa_special_english"
egg,Food/Drink,"globish, ogdens_basic_english, voa_special_english"
either,Direction,"globish, upgoer5, voa_special_english"
elastic,Business,"globish, ogdens_basic_english"
elect,Political,voa_special_english
electric,Industry,ogdens_basic_english
electricity,Industry,"globish, voa_special_english"
else,Direction,"globish, upgoer5"
embassy,Political,"globish, voa_special_english"
embryo,Nature,voa_special_english
emergency,Nature,voa_special_english
emotion,Nature,"globish, voa_special_english"
employ,Business,"globish, voa_special_english"
end,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
enemy,War,"globish, voa_special_english"
energy,Industry,voa_special_english
enforce,Political,"globish, voa_special_english"
engine,Industry,"globish, ogdens_basic_english, voa_special_english"
engineer,People,voa_special_english
enjoy,People,upgoer5
enough,Mathematics,"globish, ogdens_basic_english, upgoer5"
enter,Direction,"upgoer5, voa_special_english"
entertain,Business,globish
entire,Nature,upgoer5
environment,Nature,"globish, voa_special_english"
